,threshold,target1,target2,category1,category2,target1_index,target2_index,score,guess,actual,correct,sd_result
1938,0.75,B1_3,A1_2,B1,A1,9,2,0.46,0,0,1,cr
1939,0.75,B1_3,A1_3,B1,A1,9,3,0.42,0,0,1,cr
1940,0.75,B1_3,A2_1,B1,A2,9,4,-0.46,0,0,1,cr
1941,0.75,B1_3,A2_2,B1,A2,9,5,-0.17,0,0,1,cr
1942,0.75,B1_3,A2_3,B1,A2,9,6,0.14,0,0,1,cr
1943,0.75,B1_3,B1_1,B1,B1,9,7,-0.17,0,1,0,miss
1944,0.75,B1_3,B1_2,B1,B1,9,8,0.35,0,1,0,miss
1945,0.75,B1_3,B1_3,B1,B1,9,9,1.0,1,1,1,hit
1946,0.75,B1_3,B2_1,B1,B2,9,10,-0.47,0,0,1,cr
1947,0.75,B1_3,B2_2,B1,B2,9,11,-0.22,0,0,1,cr
1948,0.75,B1_3,B2_3,B1,B2,9,12,-0.16,0,0,1,cr
1949,0.75,B1_3,y1,B1,y,9,13,-0.17,0,0,1,cr
1950,0.75,B1_3,y2,B1,y,9,14,-0.14,0,0,1,cr
1951,0.75,B1_3,y3,B1,y,9,15,-0.12,0,0,1,cr
1952,0.75,B2_1,.,B2,.,10,0,0.52,0,0,1,cr
1953,0.75,B2_1,A1_1,B2,A1,10,1,0.15,0,0,1,cr
1954,0.75,B2_1,A1_2,B2,A1,10,2,-0.35,0,0,1,cr
1955,0.75,B2_1,A1_3,B2,A1,10,3,-0.48,0,0,1,cr
1956,0.75,B2_1,A2_1,B2,A2,10,4,0.31,0,0,1,cr
1957,0.75,B2_1,A2_2,B2,A2,10,5,0.19,0,0,1,cr
1958,0.75,B2_1,A2_3,B2,A2,10,6,0.03,0,0,1,cr
1959,0.75,B2_1,B1_1,B2,B1,10,7,0.39,0,0,1,cr
1960,0.75,B2_1,B1_2,B2,B1,10,8,-0.32,0,0,1,cr
1961,0.75,B2_1,B1_3,B2,B1,10,9,-0.47,0,0,1,cr
1962,0.75,B2_1,B2_1,B2,B2,10,10,1.0,1,1,1,hit
1963,0.75,B2_1,B2_2,B2,B2,10,11,0.41,0,1,0,miss
1964,0.75,B2_1,B2_3,B2,B2,10,12,0.26,0,1,0,miss
1965,0.75,B2_1,y1,B2,y,10,13,-0.0,0,0,1,cr
1966,0.75,B2_1,y2,B2,y,10,14,0.3,0,0,1,cr
1967,0.75,B2_1,y3,B2,y,10,15,0.16,0,0,1,cr
1968,0.75,B2_2,.,B2,.,11,0,0.5,0,0,1,cr
1969,0.75,B2_2,A1_1,B2,A1,11,1,-0.08,0,0,1,cr
1970,0.75,B2_2,A1_2,B2,A1,11,2,-0.17,0,0,1,cr
1971,0.75,B2_2,A1_3,B2,A1,11,3,-0.46,0,0,1,cr
1972,0.75,B2_2,A2_1,B2,A2,11,4,0.44,0,0,1,cr
1973,0.75,B2_2,A2_2,B2,A2,11,5,0.49,0,0,1,cr
1974,0.75,B2_2,A2_3,B2,A2,11,6,0.34,0,0,1,cr
1975,0.75,B2_2,B1_1,B2,B1,11,7,-0.16,0,0,1,cr
1976,0.75,B2_2,B1_2,B2,B1,11,8,-0.18,0,0,1,cr
1977,0.75,B2_2,B1_3,B2,B1,11,9,-0.22,0,0,1,cr
1978,0.75,B2_2,B2_1,B2,B2,11,10,0.41,0,1,0,miss
1979,0.75,B2_2,B2_2,B2,B2,11,11,1.0,1,1,1,hit
1980,0.75,B2_2,B2_3,B2,B2,11,12,-0.21,0,1,0,miss
1981,0.75,B2_2,y1,B2,y,11,13,0.34,0,0,1,cr
1982,0.75,B2_2,y2,B2,y,11,14,0.6,0,0,1,cr
1983,0.75,B2_2,y3,B2,y,11,15,0.52,0,0,1,cr
1984,0.75,B2_3,.,B2,.,12,0,0.07,0,0,1,cr
1985,0.75,B2_3,A1_1,B2,A1,12,1,0.2,0,0,1,cr
1986,0.75,B2_3,A1_2,B2,A1,12,2,-0.13,0,0,1,cr
1987,0.75,B2_3,A1_3,B2,A1,12,3,-0.53,0,0,1,cr
1988,0.75,B2_3,A2_1,B2,A2,12,4,-0.1,0,0,1,cr
1989,0.75,B2_3,A2_2,B2,A2,12,5,0.11,0,0,1,cr
1990,0.75,B2_3,A2_3,B2,A2,12,6,0.46,0,0,1,cr
1991,0.75,B2_3,B1_1,B2,B1,12,7,0.26,0,0,1,cr
1992,0.75,B2_3,B1_2,B2,B1,12,8,0.29,0,0,1,cr
1993,0.75,B2_3,B1_3,B2,B1,12,9,-0.16,0,0,1,cr
1994,0.75,B2_3,B2_1,B2,B2,12,10,0.26,0,1,0,miss
1995,0.75,B2_3,B2_2,B2,B2,12,11,-0.21,0,1,0,miss
1996,0.75,B2_3,B2_3,B2,B2,12,12,1.0,1,1,1,hit
1997,0.75,B2_3,y1,B2,y,12,13,-0.65,0,0,1,cr
1998,0.75,B2_3,y2,B2,y,12,14,-0.38,0,0,1,cr
1999,0.75,B2_3,y3,B2,y,12,15,-0.53,0,0,1,cr
2000,0.75,y1,.,y,.,13,0,-0.02,0,0,1,cr
2001,0.75,y1,A1_1,y,A1,13,1,-0.66,0,0,1,cr
2002,0.75,y1,A1_2,y,A1,13,2,-0.27,0,0,1,cr
2003,0.75,y1,A1_3,y,A1,13,3,0.12,0,0,1,cr
2004,0.75,y1,A2_1,y,A2,13,4,0.02,0,0,1,cr
2005,0.75,y1,A2_2,y,A2,13,5,-0.06,0,0,1,cr
2006,0.75,y1,A2_3,y,A2,13,6,0.03,0,0,1,cr
2007,0.75,y1,B1_1,y,B1,13,7,-0.57,0,0,1,cr
2008,0.75,y1,B1_2,y,B1,13,8,-0.7,0,0,1,cr
2009,0.75,y1,B1_3,y,B1,13,9,-0.17,0,0,1,cr
